,City,Latitude,Longitude,Max. Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
369,ilulissat,69.2167,-51.1,55.42,47,75,14.97,GL,1627323749
370,goderich,43.7501,-81.7165,83.03,64,0,4.61,CA,1627323750
371,taoudenni,22.6783,-3.9836,114.19,5,0,10.29,ML,1627323627
372,cassilandia,-19.1133,-51.7342,90.95,14,0,6.76,BR,1627323509
373,zhuhai,22.2769,113.5678,88.05,84,0,4.61,CN,1627323750
374,maragogi,-9.0122,-35.2225,77.67,77,18,9.64,BR,1627323750
375,seymchan,62.8833,152.4333,47.07,85,100,3.91,RU,1627323751
376,mindelo,16.8901,-24.9804,81.95,61,20,18.41,CV,1627323751
377,gogrial,8.5332,28.1004,69.8,97,100,3.65,SS,1627323751
378,kamaishi,39.2667,141.8833,70.84,94,96,15.35,JP,1627323752
379,canas,10.4294,-85.0931,89.46,68,100,2.26,CR,1627323752
380,hvide sande,56.0045,8.1294,70.0,85,89,8.48,DK,1627323752
381,uray,60.1247,64.7758,53.87,73,69,6.55,RU,1627323753
382,port augusta,-32.5,137.7667,55.71,49,79,15.95,AU,1627323753
383,jork,53.5333,9.6833,78.08,69,20,1.01,DE,1627323753
384,poum,-20.2333,164.0167,69.91,70,87,12.37,NC,1627323754
385,orzinuovi,45.404,9.9216,82.45,52,68,1.99,IT,1627323754
386,lompoc,34.6391,-120.4579,79.02,73,75,10.36,US,1627323481
387,batouri,4.4333,14.3667,71.53,86,96,3.89,CM,1627323754
388,north platte,41.1239,-100.7654,90.01,53,1,3.0,US,1627323755
389,okha,53.5739,142.9478,63.79,99,100,4.09,RU,1627323755
390,ozimek,50.6794,18.2137,81.95,59,41,1.99,PL,1627323755
391,koindu,8.4386,-10.3253,74.14,96,57,4.36,GN,1627323756
392,evensk,61.95,159.2333,49.23,96,100,3.6,RU,1627323756
393,pendencias,-5.26,-36.7222,90.39,38,80,15.28,BR,1627323756
394,salinopolis,-0.6136,-47.3561,83.97,67,58,11.18,BR,1627323757
395,kiunga,-6.1219,141.2906,71.55,98,99,1.43,PG,1627323757
396,port hedland,-20.3167,118.5667,62.65,94,40,6.91,AU,1627323757
397,yuli,9.6989,10.2744,73.08,94,100,4.94,NG,1627323758
398,shimoda,34.6667,138.95,78.91,86,97,6.93,JP,1627323758
399,boralday,43.3578,76.8594,81.66,23,1,7.16,KZ,1627323758
400,mayahi,13.9553,7.6712,91.31,44,85,12.77,NE,1627323759
401,bucerias,20.75,-105.3333,88.99,70,75,4.61,MX,1627323759
402,puerto penasco,31.3167,-113.5333,86.92,77,1,8.99,MX,1627323759
403,makakilo city,21.3469,-158.0858,80.92,66,1,6.91,US,1627323760
404,rocha,-34.4833,-54.3333,54.72,68,81,12.93,UY,1627323760
405,punta,8.9897,125.34,78.96,85,100,2.53,PH,1627323760
406,cam ranh,11.9214,109.1591,84.16,70,20,9.22,VN,1627323547
407,krasnoselkup,65.7,82.4667,56.53,96,100,15.28,RU,1627323761
408,ahuimanu,21.4447,-157.8378,82.11,71,40,12.66,US,1627323762
409,aligarh,27.8833,78.0833,86.7,69,100,2.75,IN,1627323763
410,auki,-8.7676,160.7034,75.11,95,100,6.38,SB,1627323763
411,namatanai,-3.6667,152.4333,78.21,79,40,2.48,PG,1627323764
412,haicheng,40.8516,122.7475,71.69,90,39,4.29,CN,1627323764
413,ranong,9.9658,98.6348,80.37,87,100,12.88,TH,1627323764
414,longyearbyen,78.2186,15.6401,42.64,87,75,13.8,SJ,1627323765
415,christchurch,-43.5333,172.6333,52.0,83,90,10.0,NZ,1627323544
416,walvis bay,-22.9575,14.5053,70.75,40,0,5.75,NA,1627323765
417,melo,-32.3667,-54.1833,55.09,95,100,8.46,UY,1627323765
418,umba,66.6871,34.3429,53.85,65,44,7.09,RU,1627323766
419,hambantota,6.1241,81.1185,80.94,81,95,19.48,LK,1627323766
420,yeppoon,-23.1333,150.7333,49.78,77,18,6.22,AU,1627323767
421,san andres,12.5847,-81.7006,87.82,70,40,11.5,CO,1627323570
422,kapuskasing,49.4169,-82.4331,66.29,55,90,5.75,CA,1627323626
423,lazaro cardenas,17.9583,-102.2,87.13,67,62,4.09,MX,1627323767
424,ordynskoye,54.3656,81.8994,56.68,73,97,12.93,RU,1627323768
425,verkhniye kigi,55.4083,58.6044,54.18,67,79,5.79,RU,1627323768
426,lagoa,39.05,-27.9833,70.86,84,65,11.07,PT,1627323768
427,plouzane,48.3833,-4.6167,64.72,88,75,9.22,FR,1627323769
428,jaguaquara,-13.5306,-39.9708,71.33,67,96,7.38,BR,1627323769
429,magadan,59.5667,150.8,54.32,95,100,6.13,RU,1627323769
430,aripuana,-9.1667,-60.6333,100.69,22,40,1.23,BR,1627323770
431,qixingtai,30.4135,111.8874,78.08,83,0,5.61,CN,1627323770
432,killybegs,54.6333,-8.45,63.45,84,100,6.31,IE,1627323771
433,uaua,-9.8414,-39.4817,79.66,51,90,11.41,BR,1627323771
434,dicabisagan,17.0818,122.4157,81.73,75,100,3.06,PH,1627323771
435,namibe,-15.1961,12.1522,68.61,77,1,3.83,AO,1627323771
436,karratha,-20.7377,116.8463,70.41,68,49,8.16,AU,1627323772
437,tahta,26.7693,31.5021,95.32,20,0,9.64,EG,1627323772
438,itanagar,27.1,93.6167,77.25,97,100,2.46,IN,1627323773
439,mafeteng,-29.823,27.2374,41.56,26,84,4.74,LS,1627323773
440,toccoa,34.5773,-83.3324,92.86,63,40,3.44,US,1627323773
441,dongsheng,39.8161,109.9776,67.59,62,1,5.48,CN,1627323774
442,troitsko-pechorsk,62.7084,56.1964,51.66,91,100,6.53,RU,1627323774
443,port alberni,49.2413,-124.8028,77.16,44,1,2.15,CA,1627323774
444,alyangula,-13.8483,136.4192,69.13,87,45,5.93,AU,1627323775
445,aksu,41.1231,80.2644,89.4,19,0,4.41,CN,1627323775
446,keffi,8.8486,7.8736,75.58,89,99,2.62,NG,1627323775
447,alice town,25.7167,-79.3,83.55,72,81,8.84,BS,1627323775
448,ossora,59.2353,163.0719,59.79,97,100,8.32,RU,1627323776
449,nemuro,43.3236,145.575,60.78,99,100,13.09,JP,1627323776
450,samarai,-10.6167,150.6667,77.77,85,100,17.18,PG,1627323776
451,preobrazheniye,42.9019,133.9064,72.07,94,53,3.53,RU,1627323777
452,shache,38.4167,77.2406,89.58,22,0,5.64,CN,1627323777
453,upington,-28.4478,21.2561,53.98,37,0,8.05,ZA,1627323778
454,casper,42.8666,-106.3131,91.0,25,1,4.0,US,1627323720
455,guarapari,-20.6667,-40.4975,78.69,65,0,15.5,BR,1627323778
456,boende,-0.2167,20.8667,85.06,32,87,2.57,CD,1627323779
457,chitral,35.8462,71.7858,83.86,65,1,3.29,PK,1627323779
458,poya,-21.35,165.15,62.37,78,73,6.55,NC,1627323779
459,riyadh,24.6877,46.7219,104.14,12,24,9.13,SA,1627323780
460,lamu,-2.2717,40.902,73.62,78,35,20.87,KE,1627323780
461,katsuura,35.1333,140.3,74.19,74,100,22.12,JP,1627323780
462,bereda,43.2686,-7.5406,72.41,72,6,5.57,ES,1627323781
463,innoshima,34.2833,133.1833,79.11,83,1,12.53,JP,1627323781
464,nyurba,63.2842,118.3319,67.37,65,33,3.67,RU,1627323781
465,gigmoto,13.7796,124.39,81.45,84,100,11.25,PH,1627323782
466,sao miguel do araguaia,-13.275,-50.1628,92.37,22,13,6.73,BR,1627323782
467,vila velha,-20.3297,-40.2925,78.75,57,20,13.8,BR,1627323783
468,kuvshinovo,57.0295,34.1725,65.19,67,29,2.24,RU,1627323783
469,santa catarina de tepehuanes,25.35,-105.7333,80.38,32,45,9.19,MX,1627323783
470,gat,31.61,34.7642,83.8,72,0,8.95,IL,1627323784
471,quebo,11.3333,-14.9333,82.58,72,98,7.85,GW,1627323784
472,limerick,52.6647,-8.6231,64.08,94,100,8.01,IE,1627323785
473,meadow lake,34.8014,-106.5436,86.31,41,37,6.42,US,1627323785
474,tyulgan,52.3405,56.166,62.19,41,49,3.22,RU,1627323785
475,sorland,67.667,12.6934,51.66,90,22,14.63,NO,1627323786
476,buin,-33.7333,-70.75,57.74,47,1,5.61,CL,1627323786
477,dengzhou,37.8086,120.7508,77.02,91,98,5.75,CN,1627323786
478,iskateley,67.6803,53.1512,42.06,92,87,7.45,RU,1627323787
479,lavrentiya,65.5833,-171.0,44.51,99,100,3.15,RU,1627323787
480,kavaratti,10.5669,72.642,81.46,80,100,17.58,IN,1627323787
481,broome,42.2506,-75.833,85.69,48,40,4.0,US,1627323788
482,yumen,40.2833,97.2,79.61,21,82,15.1,CN,1627323788
483,manokwari,-0.8667,134.0833,78.37,76,41,3.36,ID,1627323788
484,kannad,20.2667,75.1333,74.53,84,99,15.9,IN,1627323789
485,progreso,21.2833,-89.6667,95.11,57,72,9.69,MX,1627323789
486,marfino,55.7028,37.3822,75.45,52,0,2.24,RU,1627323790
487,zaragoza,41.6561,-0.8773,87.03,27,0,5.99,ES,1627323790
488,mayna,54.1135,47.6231,60.37,66,75,4.68,RU,1627323790
489,marawi,7.9986,124.2928,71.65,88,100,5.35,PH,1627323791
490,kilindoni,-7.9139,39.6668,75.45,74,82,18.21,TZ,1627323791
491,lashio,22.9333,97.75,67.41,99,85,1.19,MM,1627323791
492,taraz,42.9,71.3667,81.01,32,0,8.95,KZ,1627323792
493,rockland,41.1668,-74.0496,90.61,52,100,7.61,US,1627323606
494,kavos,38.8268,22.8322,83.14,58,0,3.67,GR,1627323792
495,kalmunai,7.4167,81.8167,82.8,69,94,7.87,LK,1627323793
496,cockburn town,21.4612,-71.1419,82.78,78,15,13.49,TC,1627323793
497,song phi nong,14.2241,100.0209,77.18,81,100,6.87,TH,1627323793
498,kabanjahe,3.1001,98.4908,65.16,96,83,2.13,ID,1627323794
499,lebanon,36.2081,-86.2911,91.83,72,1,5.75,US,1627323690
500,taltal,-25.4,-70.4833,62.17,65,2,6.33,CL,1627323794
501,lokosovo,61.1333,74.8167,49.78,90,95,5.88,RU,1627323795
502,nyuksenitsa,60.4128,44.2397,57.33,97,95,5.84,RU,1627323795
503,baherden,38.4362,57.4316,95.95,29,2,9.31,TM,1627323795
504,silver city,32.7701,-108.2803,78.76,39,1,8.99,US,1627323796
505,sovetskiy,61.3614,63.5842,52.92,84,27,3.65,RU,1627323796
506,nizhniy kuranakh,58.8353,125.4869,57.56,84,0,3.8,RU,1627323796
507,rio grande,-32.035,-52.0986,57.31,97,100,9.13,BR,1627323750
508,ryazan,54.6197,39.74,65.34,58,55,4.05,RU,1627323793
509,sayyan,15.1718,44.3244,68.09,56,91,8.3,YE,1627323797
510,trelew,-43.249,-65.3051,47.43,33,5,27.72,AR,1627323521
511,nioro,13.35,-15.75,87.91,55,88,9.57,GM,1627323797
512,barranca,-10.75,-77.7667,67.6,72,50,13.06,PE,1627323798
513,hengyang,26.8881,112.615,79.83,68,38,3.09,CN,1627323798
514,aguimes,27.9054,-15.4461,73.65,78,40,32.21,ES,1627323799
515,weinan,34.5036,109.5089,74.89,48,94,5.55,CN,1627323799
516,castlemaine,-37.0667,144.2167,46.35,93,89,5.5,AU,1627323799
517,wahiawa,21.5028,-158.0236,79.12,74,90,0.0,US,1627323800
518,riachao das neves,-11.7461,-44.91,88.39,21,48,7.14,BR,1627323800
519,kysyl-syr,63.8986,122.7617,65.66,82,17,5.64,RU,1627323800
520,encruzilhada do sul,-30.5439,-52.5219,60.89,96,100,5.91,BR,1627323801
521,verkhoyansk,67.5447,133.385,57.45,79,49,4.32,RU,1627323801
522,matara,5.9485,80.5353,79.72,86,82,12.91,LK,1627323801
523,diego de almagro,-26.3667,-70.05,67.08,17,0,7.25,CL,1627323802
524,marienburg,54.0359,19.0266,75.87,81,100,9.01,PL,1627323802
525,esperance,-33.8667,121.9,58.48,75,68,30.29,AU,1627323803
526,te anau,-45.4167,167.7167,38.61,90,89,2.17,NZ,1627323803
527,bani walid,31.7566,13.9942,84.87,31,0,21.34,LY,1627323804
528,teacapan,22.55,-105.75,88.9,66,100,8.25,MX,1627323804
529,mezen,65.8522,44.24,46.89,90,96,15.03,RU,1627323804
530,constantine,36.365,6.6147,81.81,54,75,17.27,DZ,1627323518
531,urumqi,43.801,87.6005,81.55,23,0,8.95,CN,1627323643
532,finschhafen,-6.6024,147.8681,75.99,89,93,9.55,PG,1627323805
533,ulaanbaatar,47.9077,106.8832,55.53,82,40,2.24,MN,1627323805
534,dong hoi,17.4833,106.6,81.84,77,69,9.04,VN,1627323806
535,puerto escondido,15.85,-97.0667,85.03,74,90,11.5,MX,1627323806
536,lasa,46.6166,10.7002,69.03,84,65,2.42,IT,1627323806
537,hualmay,-11.0964,-77.6139,68.61,72,39,12.91,PE,1627323807
538,cotacachi,0.3,-78.2667,67.55,57,85,5.03,EC,1627323807
539,zhigansk,66.7697,123.3711,50.43,84,23,11.43,RU,1627323807
540,lensk,60.7253,114.9278,66.65,71,2,0.76,RU,1627323808
541,sampit,-2.5333,112.95,73.31,94,1,2.93,ID,1627323808
542,kosel,50.3356,18.1433,82.08,54,47,1.86,PL,1627323809
543,domoni,-12.2569,44.5319,74.17,72,12,10.18,KM,1627323809
544,ardahan,41.1087,42.7022,57.27,93,40,2.66,TR,1627323809
545,vao,-22.6667,167.4833,68.9,60,82,16.49,NC,1627323810
546,saint-louis,16.3333,-15.0,96.44,33,56,21.54,SN,1627323810
547,itaituba,-4.2761,-55.9836,95.16,46,40,5.75,BR,1627323811
548,harrisonville,38.6533,-94.3488,89.38,53,1,8.05,US,1627323811
549,thinadhoo,0.5333,72.9333,81.37,75,99,6.69,MV,1627323811
550,karaman,37.0833,33.25,72.61,31,17,8.99,TR,1627323812
551,arman,59.7,150.1667,55.78,93,100,4.5,RU,1627323812
552,balakhninskiy,58.0106,114.2769,57.61,71,0,4.18,RU,1627323812
553,katakwi,1.8911,33.9661,71.15,58,100,3.51,UG,1627323813
554,jizan,17.3333,42.6667,83.34,65,100,2.08,SA,1627323813
555,sainte-luce,14.4673,-60.9271,87.75,66,75,14.97,MQ,1627323813
556,dauphin,51.1494,-100.0502,69.94,68,40,3.44,CA,1627323546
